"SKU","Qtd Vendida","Data da Venda","Código Cliente","Produto","Marca","","Categoria","Preço Unitário","","Custo Unitário","Preço com Desconto","Ticket","Loja","Gerente","Data de Nascimento","Nome Cliente","Sobrenome cliente","","Gênero"
"HL1024","2","1/1/2016","483","Aspire 5","Acer","","Notebook","2400","","1150","2040","Ticket Baixo","Salvador - BA","Carolina Biccas","10/22/1958","Wilson","Arruda","","M"
"HL1008","4","1/1/2016","16","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","São Paulo - SP","Marcus Cavalcanti","11/1/1953","Anna","Silva","","F"
"HL1019","2","1/1/2016","505","iPhone XS","Apple","","Celular","6500","","2800","5525","Ticket Alto","Curitiba - PR","Marcus Cavalcanti","12/24/2000","Natalia","Oliveira","","F"
"HL1001","5","1/1/2016","147","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","São Paulo - SP","Marcus Cavalcanti","7/21/1961","Caio","Vianna","","M"
"HL1002","3","1/1/2016","52","iPhone 7","Apple","","Celular","2500","","1500","2125","Ticket Baixo","Salvador - BA","Marcus Cavalcanti","10/9/1980","Maria","Ribeiro","","F"
"HL1007","3","1/1/2016","803","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Campinas - SP","Marcus Cavalcanti","1/11/1959","Luiz","Procaci","","M"
"HL1009","4","1/1/2016","375","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","São Paulo - SP","Allan Centurione","3/4/1965","Pedro","Pereira","","M"
"HL1003","4","1/1/2016","206","Galaxy S10","Samsung","","Celular","4500","","2800","3825","Ticket Médio","Campinas - SP","Allan Centurione","8/6/1985","Juan","Rodrigues","","M"
"HL1002","4","1/1/2016","649","iPhone 7","Apple","","Celular","2500","","1500","2125","Ticket Baixo","Curitiba - PR","Carolina Cotta","11/5/1958","Amanda","Rodrigues","","F"
"HL1020","4","1/1/2016","665","Moto Z","Motorola","","Celular","1500","","650","1275","Ticket Baixo","Guarulhos - SP","Carolina Biccas","2/6/1997","Guilherme","Guimarães","","M"
"HL1003","4","1/1/2016","216","Galaxy S10","Samsung","","Celular","4500","","2800","3825","Ticket Médio","Recife - PE","Arthur Barreto","9/12/1972","João","Nóbrega","","M"
"HL1008","4","1/1/2016","364","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","online","Natália Candiotto","9/29/1995","Marina","Souza","","F"
"HL1007","4","1/1/2016","186","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Niterói - RJ","Eduardo Julianelli","7/31/1989","Audir","Silva","","M"
"","","","","","","","","","","","","","","","","","","",""
"HL1008","5","1/1/2016","227","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","online","Marcus Cavalcanti","5/21/1979","Felipe","Coelho","","M"
"HL1005","4","1/1/2016","342","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","Rio de Janeiro - RJ","Giovanna Menaged","2/7/1978","Nathan","Bôas","","M"
"HL1002","3","1/1/2016","359","iPhone 7","Apple","","Celular","2500","","1500","2125","Ticket Baixo","Belo Horizonte - MG","Giovanna Menaged","7/30/1958","Silvio","Santos","","M"
"HL1014","3","1/1/2016","244","Galaxy J8","Samsung","","Celular","1100","","550","935","Ticket Baixo","São Paulo - SP","Pedro Henrique","4/15/1971","Pedro","Wajnsztok","","M"
"HL1014","3","1/1/2016","517","Galaxy J8","Samsung","","Celular","1100","","550","935","Ticket Baixo","Salvador - BA","Arthur Barreto","7/16/1985","Pedro","Rangel","","M"
"HL1021","3","1/1/2016","465","Galaxy S8","Samsung","","Celular","3000","","1400","2550","Ticket Médio","Rio de Janeiro - RJ","Allan Centurione","6/1/1992","Julie","Lopes","","F"
"HL1005","5","1/1/2016","521","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","Belo Horizonte - MG","Allan Centurione","2/5/1951","Marina","Araujo","","F"
"HL1008","5","1/1/2016","441","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","Niterói - RJ","Diego Amorim","11/6/1993","Carlos","Silveira","","M"
"HL1024","5","1/1/2016","154","Aspire 5","Acer","","Notebook","2400","","1150","2040","Ticket Baixo","Niterói - RJ","Diego Amorim","6/23/1993","Lucas","Delgado","","M"
"HL1023","5","1/1/2016","499","Samsung Dual Core","Samsung","","Notebook","1500","","550","1275","Ticket Baixo","Salvador - BA","Diego Amorim","4/28/1985","Michelle","Penteado","","F"
"HL1021","5","1/1/2016","748","Galaxy S8","Samsung","","Celular","3000","","1400","2550","Ticket Médio","Porto Alegre - RS","Carolina Cotta","5/4/1978","Wilson","Thoni","","M"
"HL1018","5","1/1/2016","761","Smart Watch MI","Xiaomi","","Smart Watch","1200","","650","1020","Ticket Baixo","Guarulhos - SP","João Pedro","9/24/1992","Luiz","Gouvêa","","M"
"HL1001","2","1/1/2016","566","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","São Paulo - SP","Carolina Cotta","12/23/1990","Camilla","Rodrigues","","F"
"HL1007","2","1/1/2016","300","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Belo Horizonte - MG","Carolina Cotta","6/11/1989","Raphael","Roberto","","M"
"HL1013","4","1/1/2016","6","Câmera Coolpix L340","Nikon","","Câmera","1550","","700","1318","Ticket Baixo","Salvador - BA","Marcus Cavalcanti","6/30/1969","Mariana","Alcoforado","","F"
